code	name	link
1 00 000 00 00 0	ОТХОДЫ СЕЛЬСКОГО, ЛЕСНОГО ХОЗЯЙСТВА, РЫБОВОДСТВА И РЫБОЛОВСТВА	/fkko/10000000000/
1 10 000 00 00 0	ОТХОДЫ СЕЛЬСКОГО ХОЗЯЙСТВА	/fkko/11000000000/
1 11 000 00 00 0	Отходы растениеводства	/fkko/11100000000/
1 11 010 00 00 0	Отходы от предпосевной подготовки семян	/fkko/11101000000/
1 11 010 11 49 5	Семена зерновых, зернобобовых, масличных, овощных, бахчевых, корнеплодных культур непротравленные с истекшим сроком годности	/fkko/11101011495/
1 11 010 21 49 2	Семена зерновых, зернобобовых, масличных, овощных, бахчевых, корнеплодных культур, протравленные фунгицидами и/или инсектицидами, с истекшим сроком годности	/fkko/11101021492/
1 11 011 00 00 0	Отходы от предпосевной подготовки семян зерновых культур	/fkko/11101100000/
1 11 011 11 49 4	Семена кукурузы, протравленные инсектофунгицидами, отбракованные	/fkko/11101111494/
1 11 012 00 00 0	Отходы от предпосевной подготовки семян зернобобовых культур	/fkko/11101200000/
1 11 013 00 00 0	Отходы от предпосевной подготовки семян масличных культур	/fkko/11101300000/
1 11 013 01 49 4	Семена ярового рапса, протравленные инсектофунгицидами, отбракованные	/fkko/11101301494/
1 11 013 02 49 4	Семена озимого рапса, протравленные инсектофунгицидами, отбракованные	/fkko/11101302494/
1 11 013 11 49 4	Семена подсолнечника, протравленные инсектофунгицидами, отбракованные	/fkko/11101311494/
1 11 014 00 00 0	Отходы от предпосевной подготовки семян овощных культур	/fkko/11101400000/
1 11 015 00 00 0	Отходы от предпосевной подготовки семян бахчевых культур	/fkko/11101500000/
1 11 016 00 00 0	Отходы от предпосевной подготовки семян корнеплодных культур	/fkko/11101600000/
1 11 100 00 00 0	Отходы при выращивании зерновых и зернобобовых культур	/fkko/11110000000/
1 11 110 00 00 0	Отходы при уборке урожая зерновых и зернобобовых культур	/fkko/11111000000/
1 11 110 01 23 5	Мякина	/fkko/11111001235/
1 11 110 02 23 5	Солома	/fkko/11111002235/
1 11 110 03 23 5	Стебли подсолнечника	/fkko/11111003235/
1 11 110 04 23 5	Стебли кукурузы	/fkko/11111004235/
1 11 115 40 00 0	Отходы при механической обработке кукурузных початков	/fkko/11111540000/
1 11 115 41 23 5	Обертка кукурузных початков	/fkko/11111541235/
1 11 115 42 20 5	Стержни кукурузных початков	/fkko/11111542205/
1 11 115 43 40 5	Пленка стержневая при обмолоте початков кукурузы	/fkko/11111543405/
1 11 120 00 00 0	Отходы от механической очистки и сортировки зерна (зерновые отходы)	/fkko/11112000000/
1 11 120 01 49 5	Зерноотходы твердой пшеницы	/fkko/11112001495/
1 11 120 02 49 5	Зерноотходы мягкой пшеницы	/fkko/11112002495/
1 11 120 03 49 5	Зерноотходы меслина	/fkko/11112003495/
1 11 120 04 49 5	Зерноотходы кукурузы	/fkko/11112004495/
1 11 120 05 49 5	Зерноотходы ячменя	/fkko/11112005495/
1 11 120 06 49 5	Зерноотходы ржи	/fkko/11112006495/
1 11 120 07 49 5	Зерноотходы овса	/fkko/11112007495/
1 11 120 08 49 5	Зерноотходы сорго	/fkko/11112008495/
1 11 120 09 49 5	Зерноотходы проса	/fkko/11112009495/
1 11 120 11 49 5	Зерноотходы гречихи	/fkko/11112011495/
1 11 120 12 49 5	Зерноотходы тритикале	/fkko/11112012495/
1 11 120 13 49 5	Зерноотходы чумизы	/fkko/11112013495/
1 11 120 14 49 5	Зерноотходы прочих зерновых культур	/fkko/11112014495/
1 11 120 15 49 5	Зерноотходы прочих зернобобовых культур (овощей бобовых сушеных)	/fkko/11112015495/
1 11 128 00 00 0	Отходы от механической очистки и сортировки зерна в смеси	/fkko/11112800000/
1 11 128 11 49 5	Отходы механической очистки зерновых культур в смеси	/fkko/11112811495/
1 11 130 00 00 0	Отходы механической очистки семян многолетних травянистых растений	/fkko/11113000000/
1 11 130 11 49 5	Отходы механической очистки семян многолетних бобовых трав	/fkko/11113011495/
1 11 200 00 00 0	Отходы при выращивании овощей, бахчевых, корнеплодных и клубнеплодных культур	/fkko/11120000000/
1 11 210 01 23 5	Ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей	/fkko/11121001235/
1 11 210 02 23 5	Ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей, загрязненные землей	/fkko/11121002235/
1 11 300 00 00 0	Отходы при выращивании прочих однолетних культур	/fkko/11130000000/
1 11 310 00 00 0	Отходы при выращивании грибов	/fkko/11131000000/
1 11 310 01 23 5	Отходы тростника при выращивании грибов	/fkko/11131001235/
1 11 318 11 20 5	Отходы первичной обработки грибов с преимущественным содержанием грунта	/fkko/11131811205/
1 11 318 12 20 5	Отходы первичной обработки грибов с преимущественным содержанием растительных остатков	/fkko/11131812205/
1 11 400 00 00 0	Отходы при выращивании цветов в защищенном грунте	/fkko/11140000000/
1 11 411 11 23 5	Растительные остатки при выращивании цветов, загрязненные землей	/fkko/11141111235/
1 11 900 00 00 0	Прочие отходы растениеводства	/fkko/11190000000/
1 11 910 00 00 0	Субстраты для тепличного растениеводства отработанные	/fkko/11191000000/
1 11 911 11 61 5	Субстраты минераловатные для тепличного растениеводства отработанные	/fkko/11191111615/
1 11 915 11 40 5	Субстрат торфяной для тепличного растениеводства отработанный	/fkko/11191511405/
1 11 971 11 40 5	Отходы зачистки оборудования для хранения зерна и уборки просыпей зерна в смеси	/fkko/11197111405/
1 11 981 11 39 5	Ил от зачистки оросительных каналов системы мелиорации земель	/fkko/11198111395/
1 12 000 00 00 0	Отходы животноводства	/fkko/11200000000/
